position,player,conference,salary,asof,source_doc,tab name
CB,"Murphy, Byron MIN CB",AFC,1.81,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Blankenship, Reed PHI S",AFC,3.41,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Stroud, C.J. HOU QB",NFC,6.27,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Swift, D'Andre CHI RB",AFC,5.96,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Brown, Marquise KCC WR",AFC,12.22,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Warren, Tyler IND TE",AFC,3.1,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Wright, Ryan MIN PN",NFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Loop, Tyler BAL PK",AFC,0.96,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Taylor, Tory CHI PN",AFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Campbell, Calais ARI DT",AFC,5.1,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Hendrickson, Trey CIN DE",AFC,5.15,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Barton, Cody TEN LB",AFC,5.23,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Slay, Darius PIT CB",NFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Brisker, Jaquan CHI S",AFC,3.41,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Ward, Cam TEN QB",AFC,6.11,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Warren, Jaylen PIT RB",NFC,5.71,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Metcalf, DK PIT WR",NFC,12.11,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"LaPorta, Sam DET TE",NFC,2.82,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Morstead, Thomas SFO PN",NFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Little, Cam JAC PK",NFC,0.94,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Mann, Braden PHI PN",AFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Hamilton, Davon JAC DT",NFC,4.9,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Ossai, Joseph CIN DE",AFC,5.1,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Luvu, Frankie WAS LB",NFC,5.13,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Jones, Jaylon IND CB",NFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Pitre, Jalen HOU S",AFC,3.41,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Jones, Daniel IND QB",NFC,6.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Williams, Javonte DAL RB",NFC,5.5,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Ridley, Calvin TEN WR",AFC,12.1,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Waller, Darren MIA TE",AFC,2.6,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Fox, Jack DET PN",NFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Reichard, Will MIN PK",NFC,0.94,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Evans, Ethan LAR PN",NFC,0.98,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Clark, Kenny GBP DT",NFC,4.75,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Sweat, Josh ARI DE",NFC,4.69,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Jewell, Josey CAR LB",NFC,5.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Dean, Jamel TBB CB",NFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Rapp, Taylor BUF S",NFC,3.38,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Jones, Daniel IND QB",AFC,5.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Mitchell, Keaton BAL RB",NFC,5.5,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Brown, Marquise KCC WR",NFC,11.98,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Mayer, Michael LVR TE",NFC,2.53,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Dixon, Riley TBB PN",NFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Reichard, Will MIN PK",AFC,0.94,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Crawshaw, Jeremy DEN PN",AFC,0.96,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Williams, Milton NEP DT",NFC,4.55,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Thibodeaux, Kayvon NYG DE",AFC,4.31,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Jewell, Josey CAR LB",AFC,5.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Emerson, Martin CLE CB",NFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Chinn, Jeremy LVR S",AFC,3.31,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Young, Bryce CAR QB",NFC,5.54,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Hampton, Omarion LAC RB",AFC,5.38,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Johnson, Diontae CLE WR",NFC,11.78,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"LaPorta, Sam DET TE",AFC,2.21,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Hayball, Matthew NOS PN",NFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Little, Cam JAC PK",AFC,0.94,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Crawshaw, Jeremy DEN PN",NFC,0.9,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Odighizuwa, Osa DAL DT",AFC,4.1,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Floyd, Leonard ATL DE",AFC,4.2,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Greenlaw, Dre DEN LB",AFC,4.97,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Woolen, Tariq SEA CB",NFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Jones, Brandon DEN S",NFC,3.25,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Ward, Cam TEN QB",NFC,5.38,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Pacheco, Isiah KCC RB",NFC,5.35,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Kirk, Christian HOU WR",AFC,10.45,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Mayer, Michael LVR TE",AFC,2.13,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Anger, Bryan DAL PN",NFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Loop, Tyler BAL PK",NFC,0.9,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Jones, Justin ARI DT",AFC,3.51,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Anderson, Will HOU DE",AFC,4.07,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Owusu-Koramoah, Jeremiah CLE LB",AFC,4.94,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Amadi, Ugo NOS CB",NFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Hamlin, Damar BUF S",NFC,3.1,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Wilson, Russell NYG QB",AFC,5.3,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Robinson, Brian WAS RB",NFC,5.35,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Wilson, Garrett NYJ WR",NFC,9.82,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Fant, Noah SEA TE",NFC,2.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Townsend, Tommy HOU PN",NFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Borregales, Andres NEP PK",NFC,0.9,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Phillips, Harrison MIN DT",AFC,3.5,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Hutchinson, Aidan DET DE",AFC,3.98,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Baker, Jerome CLE LB",NFC,4.71,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Surtain II, Patrick DEN CB",NFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Reid, Justin NOS S",NFC,3.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"McCarthy, J.J. MIN QB",NFC,4.43,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Williams, Jamaal FA RB",NFC,5.2,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"London, Drake ATL WR",AFC,9.82,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Bellinger, Daniel NYG TE",AFC,1.87,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Araiza, Matt KCC PN",NFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Borregales, Andres NEP PK",AFC,0.9,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Carter, Jalen PHI DT",AFC,3.45,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Nwosu, Uchenna SEA DE",NFC,3.76,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"McFadden, Micah NYG LB",NFC,4.7,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Bishop, Beanie PIT CB",NFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Peppers, Jabrill NEP S",NFC,3.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Daniels, Jayden WAS QB",AFC,4.43,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Mason, Jordan MIN RB",AFC,5.1,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Meyers, Jakobi LVR WR",AFC,9.41,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Gray, Noah KCC TE",AFC,1.86,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Gillan, Jamie NYG PN",NFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Krieg, Lenny ATL PK",AFC,0.9,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Hand, Da'Shawn LAC DT",AFC,3.3,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Collins, Zaven ARI DE",AFC,3.73,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Overshown, DeMarvion DAL LB",NFC,4.7,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Ward, Denzel CLE CB",NFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Baker, Budda ARI S",NFC,2.97,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"McCarthy, J.J. MIN QB",AFC,4.02,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Henderson, TreVeyon NEP RB",NFC,4.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"McLaurin, Terry WAS WR",AFC,9.35,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Hill, Taysom NOS TE",NFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Hekker, Johnny TEN PN",NFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Jarrett, Grady CHI DT",AFC,3.25,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Mack, Khalil LAC DE",NFC,3.71,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Bernard, Terrel BUF LB",AFC,4.68,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Wiggins, Nate BAL CB",NFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Owens, Jonathan CHI S",AFC,2.83,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Maye, Drake NEP QB",NFC,3.67,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Judkins, Quinshon CLE RB",AFC,4.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Meyers, Jakobi LVR WR",NFC,9.12,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Johnson, Juwan NOS TE",NFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Martin, Sam CAR PN",NFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Phillips, Harrison MIN DT",NFC,3.19,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Paye, Kwity IND DE",NFC,3.71,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Barton, Cody TEN LB",NFC,4.5,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Campbell, Tyson JAC CB",NFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Hamilton, Kyle BAL S",NFC,2.76,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Daniels, Jayden WAS QB",NFC,3.38,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Judkins, Quinshon CLE RB",NFC,4.32,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Jeudy, Jerry CLE WR",NFC,8.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Washington, Darnell PIT TE",AFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Johnston, Cam PIT PN",NFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Carter, Jalen PHI DT",NFC,3.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Van Noy, Kyle BAL DE",AFC,3.7,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Wagner, Bobby WAS LB",NFC,4.37,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Ramsey, Jalen PIT CB",AFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Thompson, Jalen ARI S",NFC,2.73,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Stroud, C.J. HOU QB",AFC,3.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Henderson, TreVeyon NEP RB",AFC,4.32,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Harrison Jr., Marvin ARI WR",NFC,8.79,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Fant, Noah SEA TE",AFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Rehkow, Ryan CIN PN",NFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Vea, Vita TBB DT",AFC,3.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Hutchinson, Aidan DET DE",NFC,3.69,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Mosley, C.J. FA LB",NFC,4.25,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Johnson, Jaylon CHI CB",AFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Delpit, Grant CLE S",NFC,2.71,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Maye, Drake NEP QB",AFC,2.93,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Dobbins, J.K. DEN RB",AFC,4.2,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Johnson, Diontae CLE WR",AFC,8.36,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Hill, Taysom NOS TE",AFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Sanchez, Rigoberto IND PN",NFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Allen, Jonathan MIN DT",AFC,3.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Carter, Abdul NYG DE",NFC,3.61,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Al-Shaair, Azeez HOU LB",AFC,4.04,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Williams, Darious LAR CB",AFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Curl, Kamren LAR S",NFC,2.62,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Levis, Will TEN QB",AFC,2.66,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Stevenson, Rhamondre NEP RB",AFC,4.16,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Mooney, Darnell ATL WR",NFC,8.25,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Conklin, Tyler LAC TE",AFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Fox, Jack DET PN",AFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Vea, Vita TBB DT",NFC,2.97,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Carter, Abdul NYG DE",AFC,3.61,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Rozeboom, Christian CAR LB",AFC,3.7,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Ward, Denzel CLE CB",AFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Simmons, Justin FA S",NFC,2.57,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Penix Jr., Michael ATL QB",NFC,2.6,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Pacheco, Isiah KCC RB",AFC,3.98,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Hunter, Travis JAC WR",AFC,8.23,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Schultz, Dalton HOU TE",AFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Gillikin, Blake ARI PN",AFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Hill, B.J. CIN DT",AFC,2.95,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Paye, Kwity IND DE",AFC,3.6,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Anzalone, Alex DET LB",AFC,3.6,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Jobe, Josh SEA CB",AFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Holland, Jevon NYG S",AFC,2.43,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Flacco, Joe CLE QB",AFC,2.5,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Gibson, Antonio NEP RB",AFC,3.93,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Pittman, Michael IND WR",NFC,7.62,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Johnson, Juwan NOS TE",AFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Rehkow, Ryan CIN PN",AFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Clark, Kenny GBP DT",AFC,2.9,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Wonnum, D.J. CAR DE",NFC,3.56,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"White, Kyzir FA LB",NFC,3.59,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Hobbs, Nate GBP CB",AFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Adams, Tony NYJ S",AFC,2.2,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Pickett, Kenny CLE QB",AFC,2.31,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Harris, Najee LAC RB",AFC,3.78,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Nabers, Malik NYG WR",AFC,7.41,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Hill, Julian MIA TE",AFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Anger, Bryan DAL PN",AFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Graham, Mason CLE DT",AFC,2.72,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Epenesa, A.J. BUF DE",NFC,3.43,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Jones, Ernest SEA LB",NFC,3.41,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Reed, D.J. DET CB",AFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Chinn, Jeremy LVR S",NFC,2.09,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Willis, Malik GBP QB",AFC,2.16,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Warren, Jaylen PIT RB",AFC,3.74,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"London, Drake ATL WR",NFC,7.33,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Taylor, Mason NYJ TE",AFC,1.74,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Johnston, Cam PIT PN",AFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Graham, Mason CLE DT",NFC,2.33,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Wonnum, D.J. CAR DE",AFC,3.41,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Anzalone, Alex DET LB",NFC,3.41,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Alexander, Jaire BAL CB",AFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Stone, Geno CIN S",AFC,2.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Dart, Jaxson NYG QB",NFC,2.14,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Moss, Zack CIN RB",NFC,3.43,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Burks, Treylon TEN WR",AFC,7.33,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Musgrave, Luke GBP TE",NFC,1.71,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Wright, Ryan MIN PN",AFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Bresee, Bryan NOS DT",AFC,2.05,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Chubb, Bradley MIA DE",AFC,3.41,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Walker, Quay GBP LB",NFC,3.41,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Conner, Chamarri KCC CB",AFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Scott, Nick CAR S",AFC,1.9,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Dart, Jaxson NYG QB",AFC,2.14,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"White, Rachaad TBB RB",NFC,3.41,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Hunter, Travis JAC WR",NFC,7.03,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Musgrave, Luke GBP TE",AFC,1.64,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Araiza, Matt KCC PN",AFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Odighizuwa, Osa DAL DT",NFC,2.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Jones, Dre'Mont TEN DE",NFC,3.38,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Walker, Quay GBP LB",AFC,3.41,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Green, Renardo SFO CB",NFC,1.7,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Delpit, Grant CLE S",AFC,1.9,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Shough, Tyler NOS QB",AFC,2.05,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Cook, James BUF RB",NFC,3.41,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"McMillan, Tetairoa CAR WR",AFC,7.03,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Sinnott, Ben WAS TE",NFC,1.62,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Gillan, Jamie NYG PN",AFC,1.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Wyatt, Devonte GBP DT",AFC,1.97,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Jones, Dre'Mont TEN DE",AFC,3.37,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Murray, Kenneth DAL LB",NFC,3.14,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
